B B
B1CC=CN1 C1=CN[BH:1]C1
B1CC=CNC1 B1CC=[CH:1]NC1
B1CC=CNC1 B1CNC=[CH:1]C1
B1CC=CNC1 B1CN[CH:1]=[CH:1]C1
B1CC=CO1 B1C[CH:1]=CO1
B1CC=CO1 B1OC=C[CH2:1]1
B1CC=CO1 B1OC=[CH:1][CH2:1]1
B1CC=CO1 C1=CO[BH:1]C1
B1CC=COC1 B1CC=CO[CH2:1]1
B1CC=CON1 C1=CON[BH:1]C1
B1CC=NCCO1 B1OCCN=C[CH2:1]1
B1CC=NO1 B1C[CH:1]=NO1
B1CCBCC1 B1CCB[CH2:1]C1
B1CCBCC1 B1CC[BH:1]CC1
B1CCBN1 B1CC[BH:1]N1
B1CCBNN1 B1CCB[NH:1]N1
B1CCBNN1 B1CC[BH:1]NN1
B1CCBO1 B1CC[BH:1]O1
B1CCBS1 B1CC[BH:1]S1
B1CCC1 B1CC[CH2:1]1
B1CCC1 B1C[CH2:1]C1
B1CCC1 B1C[CH2:1][CH2:1]1
B1CCC1 C1C[BH:1]C1
B1CCC1 C1C[CH2:1][BH:1]1
B1CCC1 C1[BH:1][CH2:1][CH2:1]1
B1CCC=CCC1 B1CCC=CC[CH2:1]1
B1CCC=CCC1 B1CCC=[CH:1]CC1
B1CCC=CCC1 B1CC[CH:1]=[CH:1]CC1
B1CCC=CCC1 C1=CCC[BH:1]CC1
B1CCC=NN1 B1CCC=N[NH:1]1
B1CCC=NN1 C1=NN[BH:1]CC1
B1CCC=NO1 B1C[CH2:1]C=NO1
B1CCC=NO1 B1ON=CC[CH2:1]1
B1CCC=NO1 B1ON=C[CH2:1][CH2:1]1
B1CCC=NO1 C1=NO[BH:1]CC1
B1CCCBCCC1 B1CCC[BH:1]CCC1
B1CCCBCCCC1 B1CCCC[BH:1]CCC1
B1CCCBN1 B1CCCB[NH:1]1
B1CCCBN1 B1CCC[BH:1]N1
B1CCCBO1 B1CCC[BH:1]O1
B1CCCC1 B1CCC[CH2:1]1
B1CCCC1 B1CC[CH2:1]C1
B1CCCC1 B1CC[CH2:1][CH2:1]1
B1CCCC1 B1C[CH2:1][CH2:1]C1
B1CCCC1 C1CC[BH:1]C1
B1CCCC1 C1C[BH:1][CH2:1]C1
B1CCCC1 C1C[CH2:1][BH:1][CH2:1]1
B1CCCC1 C1C[CH2:1][CH2:1][BH:1]1
B1CCCC=N1 C1=N[BH:1]CCC1
B1CCCCC1 B1CCCC[CH2:1]1
B1CCCCC1 B1CCC[CH2:1]C1
B1CCCCC1 B1CC[CH2:1]CC1
B1CCCCC1 B1CC[CH2:1][CH2:1]C1
B1CCCCC1 B1CC[CH2:1][CH2:1][CH2:1]1
B1CCCCC1 B1C[CH2:1][CH2:1][CH2:1]C1
B1CCCCC1 C1CC[BH:1]CC1
B1CCCCC1 C1CC[CH2:1][BH:1]C1
B1CCCCC1 C1C[BH:1][CH2:1][CH2:1]C1
B1CCCCC1 C1C[CH2:1][BH:1][CH2:1]C1
B1CCCCCC1 B1CCCCC[CH2:1]1
B1CCCCCC1 B1CCCC[CH2:1]C1
B1CCCCCC1 B1CCC[CH2:1]CC1
B1CCCCCC1 B1CC[CH2:1][CH2:1][CH2:1]C1
B1CCCCCC1 C1CCC[BH:1]CC1
B1CCCCCC1 C1CC[CH2:1][BH:1][CH2:1]C1
B1CCCCCC1 C1C[CH2:1][BH:1][CH2:1][CH2:1]C1
B1CCCCCCBN1 B1CCC[CH2:1]CCBN1
B1CCCCCCC1 B1CCCCCC[CH2:1]1
B1CCCCCCC1 B1CCCCC[CH2:1]C1
B1CCCCCCC1 B1CCCC[CH2:1]CC1
B1CCCCCCC1 C1CCC[BH:1]CCC1
B1CCCCCCC1 C1CC[CH2:1][BH:1][CH2:1]CC1
B1CCCCCCCC1 B1CCCCCCC[CH2:1]1
B1CCCCCCCC1 B1CCCCCC[CH2:1]C1
B1CCCCCCCC1 B1CCCC[CH2:1]CCC1
B1CCCCCCCC1 C1CCCC[BH:1]CCC1
B1CCCCCCCCC1 B1CCCCCCCC[CH2:1]1
B1CCCCCCCCC1 B1CCCCC[CH2:1]CCC1
B1CCCCCCCCC1 C1CCCC[BH:1]CCCC1
B1CCCCCCCCC1 C1CCCC[CH2:1][BH:1]CCC1
B1CCCCCCCCC1 C1CCC[CH2:1][BH:1][CH2:1]CCC1
B1CCCCCCN1 C1CCC[BH:1]NCC1
B1CCCCCN1 B1CCCCC[NH:1]1
B1CCCCCNCC1 B1CCCCCNC[CH2:1]1
B1CCCCCNCC1 B1CCCCCN[CH2:1]C1
B1CCCCCNCC1 B1CCCCCN[CH2:1][CH2:1]1
B1CCCCCO1 B1CCCC[CH2:1]O1
B1CCCCCO1 B1CCC[CH2:1]CO1
B1CCCCCO1 B1CC[CH2:1]CCO1
B1CCCCCO1 B1OCCCC[CH2:1]1
B1CCCCCO1 C1CCO[BH:1]CC1
B1CCCCCO1 C1C[CH2:1][BH:1][O:1][CH2:1]C1
B1CCCCN1 B1CCCC[NH:1]1
B1CCCCN1 B1CCC[CH2:1]N1
B1CCCCN1 B1CC[CH2:1]CN1
B1CCCCN1 B1CC[CH2:1][CH2:1]N1
B1CCCCN1 B1C[CH2:1]CCN1
B1CCCCN1 B1NCCC[CH2:1]1
B1CCCCN1 B1NCC[CH2:1][CH2:1]1
B1CCCCN1 C1CC[BH:1]NC1
B1CCCCN1 C1CC[NH:1][BH:1]C1
B1CCCCNC1 B1CC[CH2:1]CNC1
B1CCCCO1 B1CCC[CH2:1]O1
B1CCCCO1 B1CC[CH2:1]CO1
B1CCCCO1 B1CC[CH2:1][CH2:1]O1
B1CCCCO1 B1C[CH2:1]CCO1
B1CCCCO1 B1C[CH2:1][CH2:1]CO1
